seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2,0.4,0.1,8,0.04,0.69,1.01,0.735,1.0,4164.197303533554,0.3245468628406525
2,0.05,0.1,1,0.7,0.975,564.125,0.9875,595.54625,5206.9716720581055,0.6837429654598236
2,0.05,0.001,1,0.9,0.99,924.735,0.99375,925.23,1753.4246397018433,4.770817198455334
2,0.05,0.01,8,0.6,0.985,151.155,0.98375,159.4875,6867.586580276489,0.940548551082611
2,0.05,0.1,8,0.6,0.985,151.155,0.98375,159.4875,7123.599547624588,0.9414013016223908
2,0.05,0.001,8,0.9,0.995,728.68,1.0,736.3425,4798.157085418701,3.798030014038086
2,0.2,0.1,2,0.2,0.84,3.845,0.84375,3.9875,8147.421229362488,0.4129140880703926
2,0.05,0.01,1,0.8,0.99,821.09,0.99125,828.9525,5099.170665502548,3.4185381573438645
2,0.4,0.001,8,0.05,0.715,1.01,0.76125,1.005,8433.016742706299,0.39276504307985305
2,0.1,0.001,8,0.6,0.985,151.155,0.98375,159.4875,8091.058800458908,0.995051402747631
2,0.2,0.1,8,0.2,0.855,1.92,0.85,1.475,8541.334930419922,0.44840190529823304
2,0.2,0.001,8,0.3,0.89,4.32,0.88625,4.8125,8802.492643594742,0.375317370891571
2,0.1,0.1,8,0.4,0.945,15.665,0.94125,18.5575,8854.400746822357,0.46402651906013487
2,0.4,0.1,4,0.04,0.69,1.01,0.735,1.0,8949.237370729446,0.43260195434093474
2,0.1,0.01,1,0.6,0.965,347.255,0.97125,361.505,7497.7233510017395,2.0724843552708627
2,0.1,0.001,1,0.6,0.965,347.255,0.97125,361.505,7445.963326454163,2.1098290970921516
2,0.05,0.001,2,0.9,0.99,851.82,0.9925,858.645,3333.636679649353,6.7702802297472955
2,0.1,0.1,2,0.4,0.93,40.23,0.9125,42.745,9340.433779001236,0.7854699450731277
2,0.2,0.001,2,0.4,0.93,40.23,0.9125,42.745,9487.473894834518,0.7922040456533432
2,0.1,0.001,4,0.6,0.99,169.245,0.98,177.62375,8837.55094051361,1.7099359446763993
2,0.4,0.001,1,0.05,0.72,1.09,0.7575,1.025,8946.64845609665,1.5536637198925018
2,0.2,0.01,2,0.3,0.89,11.76,0.87125,13.78375,9817.34201002121,0.5023411223292351
2,0.05,0.01,4,0.6,0.99,169.245,0.98,177.62375,8356.095181465149,2.2885589620471
2,0.2,0.001,4,0.35,0.89,11.055,0.91375,13.25625,9483.80737733841,0.8499769783020019
2,0.2,0.01,8,0.25,0.87,2.87,0.8625,2.44,10064.194717407227,0.5150072315335273
2,0.1,0.01,2,0.6,0.98,217.095,0.9625,225.54375,9276.368520259857,1.6322569927573205
2,0.2,0.1,4,0.2,0.855,2.36,0.85125,1.88375,10352.792686462402,0.3418559393286705
2,0.2,0.001,1,0.4,0.9,86.6,0.925,105.33375,9565.106919288635,1.1958759915828705
2,0.4,0.01,1,0.04,0.7,1.075,0.735,1.0,9557.536462783813,1.4179666554927826
2,0.1,0.1,1,0.5,0.93,193.935,0.93625,217.35375,8428.254086017609,2.297855665385723
2,0.4,0.01,4,0.04,0.69,1.01,0.735,1.0,10783.182650089264,0.3043547770380974
2,0.4,0.1,2,0.04,0.69,1.01,0.735,1.0,9575.011938095093,1.1331636801362037
2,0.05,0.1,4,0.6,0.99,169.245,0.98,177.62375,9387.66166973114,2.0949423480033875
2,0.05,0.001,4,0.8,1.0,513.32,0.99625,527.3475,7996.185988664627,3.745175870656967
2,0.05,0.1,2,0.6,0.98,217.095,0.9625,225.54375,8747.287166595459,2.7330567678809166
2,0.1,0.001,2,0.6,0.98,217.095,0.9625,225.54375,9387.593600273132,2.142307871878147
2,0.2,0.01,4,0.25,0.875,3.57,0.86,3.60375,10799.490456581116,0.4800693169236183
2,0.2,0.01,1,0.3,0.87,44.045,0.8725,41.75,10274.020939350128,1.153097815513611
2,0.4,0.001,4,0.05,0.715,1.01,0.76125,1.005,11032.871995687485,0.3191019922494888
2,0.1,0.01,8,0.5,0.95,55.485,0.96625,62.14125,8762.49913764,2.189507183432579
2,0.4,0.01,8,0.04,0.69,1.01,0.735,1.0,11072.46580862999,0.39485780507326124
2,0.4,0.001,2,0.05,0.715,1.01,0.76125,1.005,11586.879787445068,0.3345490738749504
2,0.2,0.1,1,0.2,0.84,15.19,0.8475,13.70625,11115.436751127243,1.0615286684036256
2,0.4,0.01,2,0.04,0.69,1.01,0.735,1.0,11724.580734968185,0.31825614303350447
2,0.1,0.01,4,0.5,0.955,67.725,0.9625,73.53875,9537.525741100311,2.3905989110469816
2,0.1,0.1,4,0.4,0.93,20.9,0.93375,24.3425,9569.060189962387,2.37745954811573
2,0.05,0.01,2,0.8,0.985,586.215,0.985,607.9675,7716.389995098114,5.504433464109898
2,0.4,0.1,1,0.04,0.7,1.075,0.735,1.0,15100.711131334305,2.9161077889800073
42,0.1,0.001,1,0.6,0.975,396.99,0.9625,400.62375,1208.954312324524,0.8301007568836212
42,0.05,0.01,1,0.7,0.99,598.72,0.9875,622.75375,1358.1311087608337,1.0458591228723526
42,0.1,0.001,8,0.5,0.965,65.865,0.96625,67.54125,2328.3741557598114,0.7310187542438507
42,0.2,0.01,8,0.3,0.9,4.015,0.90875,4.625,3166.745029449463,0.5420073959231376
42,0.2,0.1,8,0.25,0.86,1.8,0.885,2.29,3325.346672773361,0.5439876997470856
42,0.05,0.01,2,0.7,0.985,408.58,0.9875,407.64,2352.680909395218,2.400886443257332
42,0.2,0.001,2,0.3,0.895,12.755,0.8925,15.205,3941.611771583557,0.5045584350824356
42,0.4,0.1,8,0.03,0.7,1.0,0.65875,1.00125,3927.321477174759,0.6785062155127526
42,0.2,0.1,1,0.25,0.865,32.495,0.855,27.92375,3349.1779363155365,2.0899976670742033
42,0.4,0.01,2,0.03,0.7,1.0,0.65875,1.00125,4680.016630649567,0.628888123035431
42,0.05,0.001,1,0.8,0.995,841.71,0.9925,850.15375,2987.7828900814056,2.4364349967241288
42,0.4,0.001,8,0.04,0.73,1.0,0.6975,1.0025,5477.250811815262,0.3085898706316948
42,0.4,0.1,4,0.03,0.7,1.0,0.65875,1.00125,6157.7682411670685,0.3015575414896011
42,0.2,0.001,1,0.35,0.89,86.145,0.88625,83.24125,4848.8471167087555,1.637606627047062
42,0.4,0.01,4,0.03,0.7,1.0,0.65875,1.00125,6254.421542406082,0.29677600353956224
42,0.05,0.1,1,0.6,0.975,396.99,0.9625,400.62375,4540.7402102947235,2.01424461632967
42,0.05,0.01,4,0.7,1.0,352.825,0.995,350.69375,3941.5608208179474,3.201053926050663
42,0.1,0.1,4,0.4,0.93,23.89,0.9375,26.8025,6275.049986600876,0.7196954619884491
42,0.1,0.01,8,0.45,0.95,36.02,0.95375,38.3525,6188.144180059433,0.9450672930479049
42,0.1,0.1,8,0.4,0.935,18.945,0.94,20.37875,6504.095506668091,0.825145466029644
42,0.1,0.01,1,0.45,0.95,175.84,0.925,168.895,5888.8304607868195,1.6612099394202233
42,0.05,0.001,8,0.7,1.0,332.56,0.99375,329.07875,2971.5037043094635,5.078527230918407
42,0.4,0.01,1,0.03,0.695,1.0,0.66125,1.0025,6865.10152053833,1.3634543430805206
42,0.05,0.001,2,0.8,0.995,615.89,0.99125,623.50875,4761.283377408981,3.7806953009963036
42,0.1,0.01,4,0.5,0.955,76.22,0.9625,80.535,6870.9151911735535,1.5004078724980354
42,0.2,0.001,8,0.3,0.9,4.015,0.90875,4.625,7721.575906276703,0.5155359214544296
42,0.2,0.01,1,0.35,0.89,86.145,0.88625,83.24125,6881.0858652591705,1.5146017625927926
42,0.1,0.01,2,0.5,0.955,117.73,0.95,121.6625,6743.922869205475,1.7118232744932174
42,0.1,0.1,2,0.45,0.935,78.93,0.93875,77.0925,7187.3201558589935,1.2630213615298271
42,0.1,0.001,2,0.6,0.965,247.035,0.98625,243.4675,6330.307993412018,2.3273916456103323
42,0.05,0.1,2,0.7,0.985,408.58,0.9875,407.64,5783.265045881271,3.011314057409763
42,0.05,0.1,4,0.6,0.98,192.935,0.98375,190.22625,6553.691215991974,2.235992044210434
42,0.2,0.01,2,0.3,0.895,12.755,0.8925,15.205,7952.714331626892,0.5740540876984597
42,0.05,0.001,4,0.7,1.0,352.825,0.995,350.69375,6104.299961090088,2.8149422758817675
42,0.1,0.001,4,0.6,0.98,192.935,0.98375,190.22625,6612.4955797195435,2.2129227259755133
42,0.2,0.001,4,0.3,0.9,5.59,0.90375,6.925,8074.723436832428,0.4944894814491272
42,0.1,0.1,1,0.4,0.93,120.615,0.91,121.2475,6523.756094932556,2.102252177596092
42,0.05,0.1,8,0.6,0.985,173.71,0.9825,170.725,6772.8490879535675,1.851505272090435
42,0.05,0.01,8,0.6,0.985,173.71,0.9825,170.725,6853.444909572601,1.8110642960667611
42,0.2,0.1,2,0.25,0.865,5.515,0.87125,7.56625,8164.670409917831,0.47508141070604326
42,0.2,0.1,4,0.25,0.86,2.3,0.8825,3.33625,8246.295446872711,0.4219916334748268
42,0.2,0.01,4,0.3,0.9,5.59,0.90375,6.925,8676.721820354462,0.3391598752140999
42,0.4,0.001,2,0.04,0.73,1.0,0.6975,1.0025,8960.77430820465,0.27835777908563614
42,0.4,0.001,4,0.04,0.73,1.0,0.6975,1.0025,8990.078948020935,0.29987812459468843
42,0.4,0.01,8,0.03,0.7,1.0,0.65875,1.00125,9146.5750644207,0.43853502929210664
42,0.4,0.1,2,0.03,0.7,1.0,0.65875,1.00125,9748.816244125366,0.3901913595199585
42,0.4,0.001,1,0.04,0.725,1.0,0.7025,1.04,9552.523277282715,1.379117760658264
42,0.4,0.1,1,0.03,0.695,1.0,0.66125,1.0025,9886.21158862114,1.3339210769534111
123,0.2,0.01,8,0.3,0.88,3.605,0.88,5.22125,2248.7463426589966,0.3198507812619209
123,0.2,0.001,8,0.35,0.91,7.795,0.9025,10.62625,2549.875403404236,0.40733215600252154
123,0.2,0.1,8,0.25,0.855,1.815,0.865,2.755,2805.879136800766,0.4030291026830673
123,0.2,0.1,1,0.25,0.84,33.435,0.8375,31.7,2587.0282261371613,0.9757607412338257
123,0.4,0.001,2,0.1,0.755,1.04,0.79625,1.2425,3173.489125728607,0.33578743159770963
123,0.05,0.001,1,0.8,1.0,840.79,0.985,840.2575,3018.1613562107086,0.7261489850282669
123,0.05,0.1,2,0.5,0.99,119.98,0.93,117.3375,2895.004411458969,0.9110263103246689
123,0.4,0.01,4,0.04,0.69,1.0,0.71,1.00625,3531.0874576568604,0.334243546128273
123,0.4,0.1,8,0.04,0.69,1.0,0.71,1.00625,3599.7584965229034,0.42627599477767947
123,0.05,0.01,1,0.7,0.99,588.505,0.97625,599.02625,3443.597165584564,1.03756341278553
123,0.4,0.001,1,0.1,0.76,1.52,0.7925,2.45875,3496.3503801822662,1.385738119184971
123,0.4,0.001,8,0.1,0.755,1.04,0.79625,1.08125,4202.0690813064575,0.540679397881031
123,0.2,0.001,2,0.35,0.9,26.97,0.8875,29.5775,4013.1829245090485,0.792275947034359
123,0.1,0.001,8,0.5,0.975,61.97,0.9575,65.66375,3975.608154296875,0.8944138818979264
123,0.2,0.001,1,0.35,0.9,92.995,0.8675,85.58125,3983.5269045829773,1.1526811638474463
123,0.4,0.01,8,0.04,0.69,1.0,0.71,1.00625,4641.57449388504,0.5067245882749557
123,0.05,0.01,4,0.6,0.99,180.505,0.9725,186.1525,3825.4753329753876,1.8100666916370391
123,0.1,0.1,1,0.45,0.94,177.895,0.90875,162.11875,4303.22088265419,1.1327628776431085
123,0.1,0.001,1,0.6,0.975,384.025,0.9525,370.51375,4025.5645565986633,1.5128871858119965
123,0.05,0.01,8,0.6,0.995,159.065,0.98125,165.6625,4288.865673065186,1.3422939792275428
123,0.05,0.1,1,0.6,0.975,384.025,0.9525,370.51375,4017.4836354255676,1.5310995468497277
123,0.1,0.01,1,0.6,0.975,384.025,0.9525,370.51375,4056.324844121933,1.545115602314472
123,0.1,0.1,2,0.45,0.95,79.025,0.91,77.05875,4927.373281955719,0.9114843019843102
123,0.4,0.1,2,0.04,0.69,1.0,0.71,1.00625,5334.691675662994,0.4621135205030441
123,0.05,0.01,2,0.5,0.99,119.98,0.93,117.3375,4624.161580562592,1.3471240609884263
123,0.1,0.01,4,0.45,0.96,45.555,0.94,47.45,5093.242814779282,0.8789899176359177
123,0.05,0.1,8,0.5,0.975,61.97,0.9575,65.66375,4914.133872509003,0.9943653011322021
123,0.1,0.01,8,0.45,0.955,35.375,0.9425,38.06375,5132.130223989487,0.7734745886921882
123,0.05,0.001,8,0.6,0.995,159.065,0.98125,165.6625,4589.181027889252,1.497564753293991
123,0.1,0.1,4,0.4,0.935,24.575,0.9225,27.1425,5372.398583173752,0.6579698222875595
123,0.1,0.1,8,0.4,0.94,17.945,0.92375,20.7675,5469.211673259735,0.6065424051880837
123,0.2,0.1,4,0.25,0.86,2.34,0.865,4.0775,5706.975629091263,0.4148797124624252
123,0.05,0.001,2,0.8,0.995,617.57,0.98125,613.5975,3949.5479798316956,2.5594781449437143
123,0.05,0.1,4,0.6,0.99,180.505,0.9725,186.1525,4712.94716501236,1.7411936351656914
123,0.2,0.01,1,0.3,0.875,52.77,0.84875,50.855,5611.468226671219,0.9610352325439453
123,0.1,0.001,4,0.5,0.97,76.495,0.95,79.215,5738.8296999931335,0.9656249248981476
123,0.1,0.01,2,0.45,0.95,79.025,0.91,77.05875,5940.118591070175,0.8044566830992699
123,0.1,0.001,2,0.5,0.99,119.98,0.93,117.3375,5742.434022665024,1.0690158969163894
123,0.2,0.001,4,0.35,0.905,11.575,0.90125,15.0275,6357.394989967346,0.4080311027169228
123,0.4,0.01,2,0.04,0.69,1.0,0.71,1.00625,6480.9765429496765,0.30692243844270706
123,0.4,0.001,4,0.1,0.755,1.04,0.79625,1.085,6491.660879135132,0.3162111586332321
123,0.05,0.001,4,0.7,0.995,336.475,0.98375,341.6275,4980.158882141113,2.1269236183166504
123,0.2,0.01,4,0.3,0.875,5.01,0.88,7.70625,6490.585715770721,0.34224460572004317
123,0.2,0.01,2,0.3,0.87,13.375,0.8725,16.21375,6489.005585193634,0.3960945162177086
123,0.2,0.1,2,0.25,0.845,5.215,0.85625,8.18375,6691.045043706894,0.33923720121383666
123,0.4,0.1,4,0.04,0.69,1.0,0.71,1.00625,7261.435773611069,0.2798889899253845
123,0.4,0.01,1,0.05,0.69,1.0,0.72875,1.06,6958.961136102676,1.0151305505633355
123,0.4,0.1,1,0.04,0.68,1.0,0.7125,1.03125,7829.597724437714,0.9447826263308525
516,0.05,0.01,1,0.7,0.99,569.035,0.9875,603.60875,1053.20161485672,0.8868642619252205
516,0.05,0.001,8,0.6,0.995,151.325,0.97875,164.06375,1703.4647419452667,0.9798540976643563
516,0.05,0.01,8,0.6,0.995,151.325,0.97875,164.06375,1986.8438539505005,1.055444066822529
516,0.1,0.1,8,0.4,0.945,16.31,0.94125,18.265,2555.988107442856,0.45677566856145857
516,0.2,0.001,8,0.25,0.895,2.105,0.86875,2.37,2682.2794573307037,0.38966573297977447
516,0.2,0.01,8,0.25,0.895,2.105,0.86875,2.37,3005.3553133010864,0.3778416526317596
516,0.1,0.1,1,0.4,0.94,108.25,0.9275,105.24625,2545.978802919388,0.9700453653931618
516,0.05,0.01,2,0.7,0.99,377.155,0.98375,385.59625,2082.344990968704,1.8008956569433212
516,0.2,0.001,4,0.25,0.895,2.555,0.86625,3.29125,3237.4193139076233,0.3854452049732208
516,0.2,0.001,1,0.3,0.9,47.635,0.87875,43.76625,2832.578259706497,1.005669665634632
516,0.1,0.01,1,0.5,0.95,213.91,0.935,217.6725,3060.2244613170624,0.8231367549300194
516,0.05,0.001,4,0.7,0.995,318.985,0.98875,335.76125,2178.774722337723,2.049625937640667
516,0.2,0.01,4,0.25,0.895,2.555,0.86625,3.29125,3580.8653922080994,0.4082902678847313
516,0.2,0.1,2,0.2,0.855,2.55,0.8375,3.735,3641.612441301346,0.4117895224690437
516,0.05,0.001,1,0.8,1.0,809.385,0.9925,825.3625,2582.4117012023926,1.5468882408738136
516,0.05,0.01,4,0.7,0.995,318.985,0.98875,335.76125,2883.074405193329,1.8373296546936035
516,0.1,0.001,2,0.6,0.98,228.32,0.96875,230.1725,3311.8814010620117,1.3564582732319832
516,0.1,0.001,1,0.6,0.975,337.315,0.965,373.66125,3702.65469622612,0.9951640471816063
516,0.05,0.1,1,0.6,0.975,337.315,0.965,373.66125,3748.165682077408,0.9686221155524254
516,0.2,0.001,2,0.25,0.89,5.28,0.865,6.915,4316.35537481308,0.34655261516571045
516,0.4,0.01,2,0.03,0.685,1.0,0.66375,1.00375,4391.886622667313,0.3143225008249283
516,0.05,0.1,8,0.5,0.975,59.61,0.96625,64.4975,4250.239413738251,0.539464284479618
516,0.4,0.01,4,0.03,0.685,1.0,0.66375,1.00375,4443.666725873947,0.3086743387579918
516,0.1,0.001,8,0.45,0.965,31.795,0.9525,35.665,4498.784245014191,0.4052457094192505
516,0.1,0.01,8,0.45,0.965,31.795,0.9525,35.665,4504.721051692963,0.4050066304206848
516,0.1,0.001,4,0.6,0.98,171.64,0.975,181.3325,3949.318687438965,1.211974186003208
516,0.1,0.1,2,0.35,0.93,20.7,0.895,24.85625,4768.460161685944,0.3675865986943245
516,0.2,0.1,8,0.2,0.86,1.47,0.84375,1.5425,4911.511418104172,0.258505939245224
516,0.05,0.001,2,0.8,0.995,598.58,0.9875,612.0175,3870.134566783905,1.6755907928943634
516,0.05,0.1,4,0.6,0.98,171.64,0.975,181.3325,4506.424142360687,1.04226489007473
516,0.1,0.1,4,0.4,0.945,20.99,0.935,24.32125,5058.167229413986,0.3903255334496498
516,0.1,0.01,2,0.45,0.95,70.725,0.93875,69.755,4917.458913326263,0.5769847244024277
516,0.1,0.01,4,0.45,0.96,39.48,0.9525,44.4525,4979.721442461014,0.5187488386034965
516,0.05,0.1,2,0.6,0.98,228.32,0.96875,230.1725,4527.530051708221,1.085804282128811
516,0.4,0.001,8,0.04,0.72,1.0,0.7025,1.00375,5258.728497028351,0.2747461879253387
516,0.4,0.1,8,0.03,0.685,1.0,0.66375,1.00375,5322.347244024277,0.2954843017458916
516,0.2,0.01,2,0.25,0.89,5.28,0.865,6.915,5386.265931606293,0.2911067470908165
516,0.2,0.1,4,0.2,0.86,1.565,0.84,2.00125,5496.123218536377,0.26106648564338686
516,0.4,0.1,2,0.03,0.685,1.0,0.66375,1.00375,5525.3781151771545,0.29085628062486646
516,0.4,0.01,8,0.03,0.685,1.0,0.66375,1.00375,5641.678497552872,0.2635063686966896
516,0.2,0.01,1,0.25,0.87,26.315,0.845,25.16125,5266.765083312988,0.7600698998570442
516,0.4,0.001,2,0.04,0.72,1.0,0.7025,1.00375,5717.840344429016,0.3005046519637108
516,0.4,0.01,1,0.03,0.685,1.0,0.66375,1.00625,5071.778050661087,1.1540135487914085
516,0.2,0.1,1,0.2,0.86,9.57,0.8275,12.93375,5475.159971237183,1.049667566716671
516,0.4,0.001,4,0.04,0.72,1.0,0.7025,1.00375,5919.4681215286255,0.5458075958490372
516,0.4,0.1,1,0.03,0.685,1.0,0.66375,1.00625,5474.082923412323,2.033803269267082
516,0.4,0.1,4,0.03,0.685,1.0,0.66375,1.00375,6004.780678510666,1.5239346262812614
516,0.4,0.001,1,0.04,0.72,1.0,0.7025,1.03625,6935.183887481689,2.2669740518927575
2024,0.05,0.01,4,0.6,0.985,190.225,0.97875,186.88875,2493.9304015636444,1.4589091995358467
2024,0.4,0.001,1,0.05,0.71,1.04,0.6975,1.0825,6433.941985845566,1.2674980691075326
2024,0.05,0.01,1,0.7,0.99,594.15,0.98125,627.79,7049.073303461075,0.9810260978341102
2024,0.05,0.1,1,0.7,0.99,594.15,0.98125,627.79,7155.126717805862,1.429771273434162
2024,0.05,0.001,1,0.9,0.995,913.71,0.99625,929.685,3710.504651069641,5.204690202474594
2024,0.1,0.001,4,0.6,0.985,190.225,0.97875,186.88875,8557.310949325562,1.7407651805877686
2024,0.4,0.01,4,0.03,0.685,1.005,0.64625,1.0025,10013.262687444687,0.3761946275830269
2024,0.1,0.1,1,0.6,0.97,384.12,0.96625,393.41625,8788.048369646072,2.0346851003170014
2024,0.1,0.01,1,0.6,0.97,384.12,0.96625,393.41625,8741.799701929092,2.2489113083481787
2024,0.2,0.001,8,0.3,0.91,5.785,0.8825,4.8575,10764.996399879456,0.41678851783275606
2024,0.1,0.01,8,0.45,0.955,37.465,0.95875,36.39,10995.059220075607,0.7700993308424949
2024,0.1,0.001,8,0.5,0.975,67.535,0.97125,65.21625,10884.378778219223,0.9496237993240356
2024,0.4,0.001,8,0.04,0.725,1.005,0.67,1.005,12085.402569532394,0.7176776739954949
2024,0.2,0.001,1,0.35,0.895,74.465,0.86625,81.47625,11584.813593626022,1.5631406763195992
2024,0.1,0.001,1,0.6,0.97,384.12,0.96625,393.41625,8736.52981042862,4.03683100759983
2024,0.05,0.1,2,0.6,0.98,245.055,0.9675,240.035,10874.938368558884,2.6438645008206367
2024,0.2,0.001,4,0.3,0.905,7.58,0.87375,7.13,12408.231425762177,0.7269249165058136
2024,0.2,0.01,4,0.25,0.875,4.05,0.845,3.60625,12828.912467956543,0.586820972263813
2024,0.05,0.1,8,0.5,0.975,67.535,0.97125,65.21625,10847.782706260681,2.4422965964674948
2024,0.4,0.1,8,0.03,0.685,1.005,0.64625,1.0025,13280.962424993515,0.4835153236985207
2024,0.2,0.01,2,0.3,0.88,15.48,0.87375,14.27,12375.603719234467,1.5738978406786919
2024,0.05,0.001,4,0.8,0.995,526.79,0.99875,543.32,9436.877017974854,5.572443942427635
2024,0.05,0.1,4,0.6,0.985,190.225,0.97875,186.88875,11361.52976346016,3.3691058680415154
2024,0.05,0.01,8,0.7,1.0,322.785,0.99875,326.01875,9217.812513589859,5.383284792304039
2024,0.4,0.001,2,0.04,0.725,1.005,0.67,1.005,13953.898376703262,0.5205717092752457
2024,0.05,0.001,8,0.7,1.0,322.785,0.99875,326.01875,9208.872841596603,5.451042514443397
2024,0.05,0.001,2,0.9,0.995,851.495,0.99125,871.46125,6298.530185699463,8.871291356682777
2024,0.1,0.1,8,0.35,0.93,10.31,0.90875,9.7775,12611.779402256012,1.6762697151303292
2024,0.1,0.1,2,0.4,0.935,45.145,0.90125,48.1725,14214.846254348755,0.9862611421942711
2024,0.1,0.1,4,0.4,0.945,25.585,0.92125,25.71125,14154.938118934631,1.195184614956379
2024,0.2,0.01,8,0.25,0.88,3.045,0.84875,2.4925,14000.349262237549,1.28378411591053
2024,0.1,0.01,2,0.6,0.98,245.055,0.9675,240.035,11417.135100841522,4.774365431666374
2024,0.1,0.01,4,0.5,0.96,81.22,0.95875,78.5425,12719.66308927536,3.0845941799879073
2024,0.05,0.01,2,0.7,0.99,394.305,0.98375,405.47,10491.991067886353,6.065992505550384
2024,0.2,0.1,8,0.2,0.855,1.795,0.8175,1.54625,14803.029258012772,1.0280029287934302
2024,0.2,0.1,4,0.2,0.85,2.005,0.82125,1.9225,16006.291157722473,0.3482325929403305
2024,0.1,0.001,2,0.6,0.98,245.055,0.9675,240.035,11508.793070554733,5.106498776674271
2024,0.2,0.01,1,0.35,0.895,74.465,0.86625,81.47625,13524.535399198532,2.8938584783673287
2024,0.2,0.001,2,0.35,0.895,27.73,0.8875,27.355,15064.905218362808,1.3079631918668746
2024,0.4,0.001,4,0.04,0.725,1.005,0.67,1.005,15334.163553237915,0.9838148203492164
2024,0.2,0.1,2,0.2,0.845,4.21,0.81625,3.6425,16227.542662620544,0.6204328322410584
2024,0.2,0.1,1,0.3,0.865,48.165,0.8375,56.89375,14880.571732997894,2.1172080677747727
2024,0.4,0.01,8,0.03,0.685,1.005,0.64625,1.0025,16680.621544361115,0.4414871054887772
2024,0.4,0.1,4,0.03,0.685,1.005,0.64625,1.0025,17298.191508293152,0.32406780779361727
2024,0.4,0.01,2,0.03,0.685,1.005,0.64625,1.0025,17305.6973426342,0.3207823321223259
2024,0.4,0.1,2,0.03,0.685,1.005,0.64625,1.0025,17369.250950336456,0.34571190655231476
2024,0.4,0.1,1,0.03,0.68,1.005,0.64625,1.00375,17366.818764448166,1.735553143620491
2024,0.4,0.01,1,0.04,0.705,1.015,0.66875,1.025,17915.066177606583,3.9336688235402106
